danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genre,sub-genre,0
0.556,0.939,11.0,-5.99,1.0,0.039,0.00245,0.915,0.121,0.152,127.992,audio_features,6LHXb1sGs72iTmpSr0603b,spotify:track:6LHXb1sGs72iTmpSr0603b,https://api.spotify.com/v1/tracks/6LHXb1sGs72iTmpSr0603b,https://api.spotify.com/v1/audio-analysis/6LHXb1sGs72iTmpSr0603b,163125.0,4.0,62,edm ,edm,
0.314,0.858,11.0,-8.596,0.0,0.0563,0.00356,0.873,0.145,0.0729,127.046,audio_features,26RfGZj3z5Y25w6tQDcAyM,spotify:track:26RfGZj3z5Y25w6tQDcAyM,https://api.spotify.com/v1/tracks/26RfGZj3z5Y25w6tQDcAyM,https://api.spotify.com/v1/audio-analysis/26RfGZj3z5Y25w6tQDcAyM,306166.0,4.0,62,edm ,edm,
0.644,0.616,1.0,-3.928,0.0,0.0391,0.0927,0.0,0.105,0.467,124.957,audio_features,3Dr0xDJwXy6JkiHNJfv5zd,spotify:track:3Dr0xDJwXy6JkiHNJfv5zd,https://api.spotify.com/v1/tracks/3Dr0xDJwXy6JkiHNJfv5zd,https://api.spotify.com/v1/audio-analysis/3Dr0xDJwXy6JkiHNJfv5zd,192000.0,4.0,62,edm ,edm,
0.786,0.718,0.0,-6.292,0.0,0.04,0.00519,0.000977,0.127,0.525,123.951,audio_features,102rhgJ5PEFt62e0PumSF2,spotify:track:102rhgJ5PEFt62e0PumSF2,https://api.spotify.com/v1/tracks/102rhgJ5PEFt62e0PumSF2,https://api.spotify.com/v1/audio-analysis/102rhgJ5PEFt62e0PumSF2,166573.0,4.0,62,edm ,edm,
0.581,0.855,10.0,-6.181,1.0,0.0322,0.0715,0.81,0.364,0.19,127.995,audio_features,5eAhXdQwzlFwHkZhiJ1KHg,spotify:track:5eAhXdQwzlFwHkZhiJ1KHg,https://api.spotify.com/v1/tracks/5eAhXdQwzlFwHkZhiJ1KHg,https://api.spotify.com/v1/audio-analysis/5eAhXdQwzlFwHkZhiJ1KHg,165000.0,4.0,61,edm ,edm,
0.428,0.907,4.0,-3.063,0.0,0.163,0.00594,1.71e-06,0.129,0.244,149.955,audio_features,10Q3ASy9okYt85040yV46c,spotify:track:10Q3ASy9okYt85040yV46c,https://api.spotify.com/v1/tracks/10Q3ASy9okYt85040yV46c,https://api.spotify.com/v1/audio-analysis/10Q3ASy9okYt85040yV46c,300917.0,4.0,61,edm ,edm,
0.659,0.798,9.0,-6.933,0.0,0.0749,0.175,0.000379,0.708,0.15,126.064,audio_features,3KAExCnsrlAw9ugJcA1QDH,spotify:track:3KAExCnsrlAw9ugJcA1QDH,https://api.spotify.com/v1/tracks/3KAExCnsrlAw9ugJcA1QDH,https://api.spotify.com/v1/audio-analysis/3KAExCnsrlAw9ugJcA1QDH,240445.0,4.0,64,edm ,edm,
0.431,0.802,8.0,-2.665,0.0,0.0472,0.0333,0.0,0.352,0.472,101.932,audio_features,3dqIIPHyhVVbN1mnShVAhT,spotify:track:3dqIIPHyhVVbN1mnShVAhT,https://api.spotify.com/v1/tracks/3dqIIPHyhVVbN1mnShVAhT,https://api.spotify.com/v1/audio-analysis/3dqIIPHyhVVbN1mnShVAhT,198824.0,4.0,61,edm ,edm,
0.818,0.773,8.0,-5.714,0.0,0.0579,0.0166,7.64e-06,0.377,0.878,122.016,audio_features,7GiozRoMk95aFl1WbrDdjX,spotify:track:7GiozRoMk95aFl1WbrDdjX,https://api.spotify.com/v1/tracks/7GiozRoMk95aFl1WbrDdjX,https://api.spotify.com/v1/audio-analysis/7GiozRoMk95aFl1WbrDdjX,143953.0,4.0,60,edm ,edm,
0.725,0.859,6.0,-6.19,1.0,0.0542,0.0112,0.423,0.0831,0.4,125.969,audio_features,0NNSpmyyr0I4lrMaXS8Tba,spotify:track:0NNSpmyyr0I4lrMaXS8Tba,https://api.spotify.com/v1/tracks/0NNSpmyyr0I4lrMaXS8Tba,https://api.spotify.com/v1/audio-analysis/0NNSpmyyr0I4lrMaXS8Tba,154286.0,4.0,61,edm ,edm,
